暗誦	暗唱
闇夜	暗夜
抜萃	抜粋
白堊	白亜
斑点	班点
扮装	粉装
瓣膜	弁膜
堡壘	保塁
悖德	背徳
繃帯	包帯
編輯	編集
扁平	偏平
辨當	弁当
辮髮	弁髪
辯護	弁護
波瀾	波乱
車輛	車両
抽籤	抽選
醋酸	酢酸
簇生	族生
蹈襲	踏襲
牴触	抵触
顛倒	転倒
叮嚀	丁寧
碇泊	停泊
杜絶	途絶
断乎	断固
恩誼	恩義
醱酵	発酵
芳醇	芳純
防禦	防御
蜚語	飛語
廢墟	廃虚
諷喩	風諭
敷衍	敷延
符牒	符丁
輔佐	補佐
肝腎	肝心
箇条書	個条書
耕耘機	耕運機
共軛	共役
勾引	拘引
媾和	講和
骨骼	骨格
雇傭	雇用
貫禄	貫録
廣汎	広範
詭辯	詭弁
函數	関数
合辦	合弁
涸渇	枯渇
回游	回遊
廻転	回転
毀損	棄損
渾然	混然
活潑	活発
火焰	火炎
激昂	激高
伎倆	技量
尖兵	先兵
尖鋭	先鋭
肩胛骨	肩甲骨
間歇	間欠
建蔽率	建坪率
交叉	交差
焦躁	焦燥
浸蝕	浸食
禁錮	禁固
敬虔	敬謙
聚落	集落
醵出	拠出
醵金	拠金
決潰	決壊
掘鑿	掘削
訣別	決別
駿馬	俊馬
亢進	高進
扣除	控除
曠野	広野
礦石	鉱石
連繫	連係
聯合	連合
溜飲	留飲
掠奪	略奪
輪廓	輪郭
買辦	買弁
脈搏	脈拍
摸索	模索
拇指	母指
鳥瞰	鳥観
煖房	暖房
叛乱	反乱
抛棄	放棄
庖丁	包丁
膨脹	膨張
捧持	奉持
披瀝	披歴
飄然	漂然
破毀	破棄
曝露	暴露
気魄	気迫
恰幅	格幅
恰好	格好
欠缺	欠缺
牆壁	障壁
橋頭堡	橋頭保
區劃	区画
銓衡	選考
確乎	確固
饒舌	冗舌
熔接	溶接
叡智	英知
撒水	散水
三叉路	三差路
煽情	扇情
沈澱	沈殿
滲透	浸透
陞敘	昇叙
屍體	死体
試煉	試練
手帖	手帳
抒情	叙情
疏通	疎通
衰頽	衰退
衰退	衰退
蒐集	収集
擡頭	台頭
歎願	嘆願
褪色	退色
臀部	殿部
彎曲	湾曲
萎縮	委縮
慰藉料	慰謝料
稀少	希少
嬉遊曲	喜遊曲
洗滌	洗浄
洗浄	洗浄
絃歌	弦歌
嶮岨	険阻
相剋	相克
香奠	香典
饗宴	供宴
象嵌	象眼
銷卻	消却
兇器	凶器
眩惑	幻惑
燻蒸	薫蒸
燻製	薫製
訓誡	訓戒
啞鈴	亜鈴
湮滅	隠滅
掩護	援護
儼然	厳然
野鄙	野卑
一攫千金	一獲千金
衣裳	衣装
意嚮	意向
義捐	義援
臆病	憶病
臆断	憶断
悠然	裕然
優駿	優俊
油槽船	油送船
友誼	友宜
漁撈	漁労
輿論	世論
讚辭	賛辞
鑿岩	削岩
輾轉	展転
戰歿	戦没
障礙	障害
蒸溜	蒸留
鄭重	丁重
智慧	知恵
終熄	終息
註釋	注釈
紫斑	紫班
綜合	総合
